question,subject,difficulty,difficulty_label,word_count,char_count
Solve the partial differential equation uxx + uyy = 0.,Mathematics,Hard,2,10,54
Evaluate the contour integral of 1/(z^2+1) over |z|=2.,Mathematics,Hard,2,8,54
What is the atomic number of Carbon?,Chemistry,Easy,0,7,36
Define frequency of a wave.,Physics,Easy,0,5,27
Define molar mass.,Chemistry,Easy,0,3,18
What is the Crystal Field Theory? Explain for octahedral complexes.,Chemistry,Hard,2,10,67
Derive expressions for electric field due to a point charge.,Physics,Medium,1,10,60
Name the three states of matter.,Chemistry,Easy,0,6,32
Describe the mechanism of Diels-Alder reaction.,Chemistry,Hard,2,6,47
State Ohm's Law.,Physics,Easy,0,3,16
Describe the process of meiosis.,Biology,Medium,1,5,32
What is the ideal gas law? Derive it.,Chemistry,Medium,1,8,37
What is a loop? Name two types.,Computer Science,Easy,0,7,31
Design a distributed key-value store with consistency guarantees.,Computer Science,Hard,2,8,65
Explain the molecular basis of antibiotic resistance.,Biology,Hard,2,7,53
Explain special theory of relativity and time dilation.,Physics,Hard,2,8,55
Simplify: 3x + 2x,Mathematics,Easy,0,4,17
State the law of conservation of mass.,Chemistry,Easy,0,7,38
Derive the rate equation for a complex reaction mechanism.,Chemistry,Hard,2,9,58
What is resonance in an LC circuit?,Physics,Medium,1,7,35
Define kinetic energy.,Physics,Easy,0,3,22
Prove the P vs NP problem statement and its implications.,Computer Science,Hard,2,10,57
What is a deadlock? Explain necessary conditions.,Computer Science,Medium,1,7,49
What is the speed of light in vacuum?,Physics,Easy,0,8,37
Explain the Born-Haber cycle for ionic compounds.,Chemistry,Hard,2,7,49
Convert 0.5 to a fraction.,Mathematics,Easy,0,5,26
Derive the expression for kinetic energy from work-energy theorem.,Physics,Medium,1,9,66
Explain the time complexity of bubble sort.,Computer Science,Medium,1,7,43
What is a chemical equation?,Chemistry,Easy,0,5,28
What is a cell?,Biology,Easy,0,4,15
Explain the CAP theorem in distributed systems.,Computer Science,Hard,2,7,47
Explain the mechanism of enzyme action.,Biology,Medium,1,6,39
Describe the structure and function of DNA.,Biology,Medium,1,7,43
Explain RAFT consensus algorithm for distributed systems.,Computer Science,Hard,2,7,57
What is the perimeter of a rectangle 3x5?,Mathematics,Easy,0,8,41
Prove that the sum of angles in a triangle is 180 degrees.,Mathematics,Medium,1,12,58
Explain the thermodynamic basis of spontaneity using Gibbs free energy.,Chemistry,Hard,2,10,71
Define respiration.,Biology,Easy,0,2,19
Find the area of a square with side 4.,Mathematics,Easy,0,9,38
What is the binomial expansion of (a+b)^3?,Mathematics,Medium,1,7,42
What is the unit of electric current?,Physics,Easy,0,7,37
Explain the concept of recursion with an example.,Computer Science,Medium,1,8,49
Explain the immune response to pathogens.,Biology,Medium,1,6,41
What is the square root of 144?,Mathematics,Easy,0,7,31
Explain the quantum mechanical model of the hydrogen atom.,Chemistry,Hard,2,9,58
Explain hybridization in carbon compounds.,Chemistry,Medium,1,5,42
What is the value of pi to 2 decimal places?,Mathematics,Easy,0,10,44
What does CPU stand for?,Computer Science,Easy,0,5,24
Derive the expression for entropy in statistical mechanics.,Physics,Hard,2,8,59
What is an ecosystem?,Biology,Easy,0,4,21
Derive Maxwell's equations from first principles.,Physics,Hard,2,6,49
Describe transition state theory and Arrhenius equation derivation.,Chemistry,Hard,2,8,67
Explain the photoelectric effect.,Physics,Medium,1,4,33
Explain the concept of natural selection.,Biology,Medium,1,6,41
Define a variable in programming.,Computer Science,Easy,0,5,33
Describe the mechanism of viral replication in host cells.,Biology,Hard,2,9,58
"What is normalization in databases? Explain 1NF, 2NF, 3NF.",Computer Science,Medium,1,9,58
Describe the Standard Model of particle physics.,Physics,Hard,2,7,48
Define pH scale.,Chemistry,Easy,0,3,16
Explain the working of a transformer.,Physics,Medium,1,6,37
Explain quantum entanglement and Bell's theorem.,Physics,Hard,2,6,48
What is an atom?,Chemistry,Easy,0,4,16
Explain the concept of magnetic flux and Faraday's law.,Physics,Medium,1,9,55
Describe the implementation of a garbage collector.,Computer Science,Hard,2,7,51
Derive the Henderson-Hasselbalch equation.,Chemistry,Medium,1,4,42
What is mitosis?,Biology,Easy,0,3,16
Solve the differential equation dy/dx = y*sin(x).,Mathematics,Hard,2,7,49
Derive the Navier-Stokes equations.,Physics,Hard,2,4,35
Explain the evolutionary theory of endosymbiosis.,Biology,Hard,2,6,49
Define homeostasis.,Biology,Easy,0,2,19
State Archimedes' principle.,Physics,Easy,0,3,28
Explain the molecular basis of cancer development.,Biology,Hard,2,7,50
Solve: x + 3 = 7,Mathematics,Easy,0,6,16
Derive the Schrodinger equation and explain its significance.,Physics,Hard,2,8,61
Explain the process of protein synthesis.,Biology,Medium,1,6,41
What is electrochemistry? Explain galvanic cells.,Chemistry,Medium,1,6,49
Define electronegativity.,Chemistry,Easy,0,2,25
Explain the synthesis of complex organic compounds using retrosynthesis.,Chemistry,Hard,2,9,72
Explain the internals of a B+ tree and its use in databases.,Computer Science,Hard,2,12,60
Explain the difference between stack and queue.,Computer Science,Medium,1,7,47
Define photosynthesis.,Biology,Easy,0,2,22
Describe the structure and function of the ribosome in detail.,Biology,Hard,2,10,62
Prove the Fundamental Theorem of Calculus.,Mathematics,Hard,2,6,42
What is a binary search tree? Explain insertion.,Computer Science,Medium,1,8,48
What is titration? Explain acid-base titration.,Chemistry,Medium,1,6,47
Integrate f(x) = 2x + 1 with respect to x.,Mathematics,Medium,1,10,42
What is a covalent bond?,Chemistry,Easy,0,5,24
Explain Le Chatelier's principle with examples.,Chemistry,Medium,1,6,47
