essay_id,prompt,reference_answer,student_answer,score,max_score
2,Explain Newton's Second Law of Motion.,"Newton's Second Law of Motion states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as F = ma, where F is force, m is mass, and a is acceleration.",Force equals mass multiplied by acceleration. Larger force causes greater acceleration for the same mass.,4,5
2,Explain Newton's Second Law of Motion.,"Newton's Second Law of Motion states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as F = ma, where F is force, m is mass, and a is acceleration.",Newton made F=ma which means force is mass times acceleration showing relationship between force and motion.,4,5
2,Explain Newton's Second Law of Motion.,"Newton's Second Law of Motion states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as F = ma, where F is force, m is mass, and a is acceleration.",Things move.,0,5
2,Explain Newton's Second Law of Motion.,"Newton's Second Law of Motion states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass. This is expressed as F = ma, where F is force, m is mass, and a is acceleration.","Second law: net force on body equals its mass times acceleration it acquires, F=ma, direction of acceleration same as force.",5,5
3,What is photosynthesis?,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. The process uses carbon dioxide and water, releasing oxygen as a byproduct. The equation is 6CO2 + 6H2O + light → C6H12O6 + 6O2.","Plants make food from sunlight, water, and CO2, releasing oxygen.",3,5
3,What is photosynthesis?,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. The process uses carbon dioxide and water, releasing oxygen as a byproduct. The equation is 6CO2 + 6H2O + light → C6H12O6 + 6O2.","Photosynthesis converts light energy to chemical energy in glucose using CO2 and water, releasing O2.",5,5
3,What is photosynthesis?,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. The process uses carbon dioxide and water, releasing oxygen as a byproduct. The equation is 6CO2 + 6H2O + light → C6H12O6 + 6O2.",Plants eat sunlight.,0,5
3,What is photosynthesis?,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. The process uses carbon dioxide and water, releasing oxygen as a byproduct. The equation is 6CO2 + 6H2O + light → C6H12O6 + 6O2.","Green plants use chlorophyll to absorb sunlight, convert CO2 and water into glucose and oxygen.",4,5
3,What is photosynthesis?,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. The process uses carbon dioxide and water, releasing oxygen as a byproduct. The equation is 6CO2 + 6H2O + light → C6H12O6 + 6O2.",It is how plants make food.,1,5
3,What is photosynthesis?,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. The process uses carbon dioxide and water, releasing oxygen as a byproduct. The equation is 6CO2 + 6H2O + light → C6H12O6 + 6O2.","Photosynthesis: 6CO2 + 6H2O + light produces glucose C6H12O6 and 6O2, occurs in chloroplasts.",5,5
3,What is photosynthesis?,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. The process uses carbon dioxide and water, releasing oxygen as a byproduct. The equation is 6CO2 + 6H2O + light → C6H12O6 + 6O2.",Plants absorb light and produce sugar.,2,5
3,What is photosynthesis?,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. The process uses carbon dioxide and water, releasing oxygen as a byproduct. The equation is 6CO2 + 6H2O + light → C6H12O6 + 6O2.","The process where plants use sunlight energy to combine carbon dioxide and water, forming glucose and releasing oxygen as byproduct.",4,5
4,Describe the process of DNA replication.,"DNA replication is the process by which a DNA molecule makes a copy of itself. The double helix unwinds and each strand serves as a template for a new complementary strand. Key enzymes include helicase (unwinds DNA), primase (adds RNA primer), DNA polymerase (synthesizes new strand), and ligase (joins fragments).",DNA copies itself by splitting and each half becoming a full copy.,2,5
4,Describe the process of DNA replication.,"DNA replication is the process by which a DNA molecule makes a copy of itself. The double helix unwinds and each strand serves as a template for a new complementary strand. Key enzymes include helicase (unwinds DNA), primase (adds RNA primer), DNA polymerase (synthesizes new strand), and ligase (joins fragments).","DNA replication uses helicase to unwind the double helix, then DNA polymerase synthesizes new complementary strands.",4,5
4,Describe the process of DNA replication.,"DNA replication is the process by which a DNA molecule makes a copy of itself. The double helix unwinds and each strand serves as a template for a new complementary strand. Key enzymes include helicase (unwinds DNA), primase (adds RNA primer), DNA polymerase (synthesizes new strand), and ligase (joins fragments).",DNA makes copies.,0,5
4,Describe the process of DNA replication.,"DNA replication is the process by which a DNA molecule makes a copy of itself. The double helix unwinds and each strand serves as a template for a new complementary strand. Key enzymes include helicase (unwinds DNA), primase (adds RNA primer), DNA polymerase (synthesizes new strand), and ligase (joins fragments).","During replication, helicase unwinds DNA, primase adds primers, polymerase adds nucleotides, and ligase joins Okazaki fragments.",5,5
4,Describe the process of DNA replication.,"DNA replication is the process by which a DNA molecule makes a copy of itself. The double helix unwinds and each strand serves as a template for a new complementary strand. Key enzymes include helicase (unwinds DNA), primase (adds RNA primer), DNA polymerase (synthesizes new strand), and ligase (joins fragments).",The double helix splits and each strand is used as template to form new complementary strand.,3,5
4,Describe the process of DNA replication.,"DNA replication is the process by which a DNA molecule makes a copy of itself. The double helix unwinds and each strand serves as a template for a new complementary strand. Key enzymes include helicase (unwinds DNA), primase (adds RNA primer), DNA polymerase (synthesizes new strand), and ligase (joins fragments).",DNA duplicates using enzymes like helicase and polymerase to create two identical daughter molecules.,4,5
4,Describe the process of DNA replication.,"DNA replication is the process by which a DNA molecule makes a copy of itself. The double helix unwinds and each strand serves as a template for a new complementary strand. Key enzymes include helicase (unwinds DNA), primase (adds RNA primer), DNA polymerase (synthesizes new strand), and ligase (joins fragments).",Cells copy DNA when dividing.,1,5
4,Describe the process of DNA replication.,"DNA replication is the process by which a DNA molecule makes a copy of itself. The double helix unwinds and each strand serves as a template for a new complementary strand. Key enzymes include helicase (unwinds DNA), primase (adds RNA primer), DNA polymerase (synthesizes new strand), and ligase (joins fragments).","Semi-conservative replication: helicase unwinds DNA, polymerase synthesizes complementary strand in 5' to 3' direction.",5,5
5,Explain the concept of recursion in programming.,Recursion is a programming technique where a function calls itself to solve a problem by breaking it into smaller subproblems of the same type. Every recursive function needs a base case (stopping condition) and a recursive case. Example: factorial(n) = n * factorial(n-1) with base case factorial(0) = 1.,Recursion is when a function calls itself.,2,5
5,Explain the concept of recursion in programming.,Recursion is a programming technique where a function calls itself to solve a problem by breaking it into smaller subproblems of the same type. Every recursive function needs a base case (stopping condition) and a recursive case. Example: factorial(n) = n * factorial(n-1) with base case factorial(0) = 1.,Recursion: a function that calls itself with a smaller input until reaching the base case.,4,5
5,Explain the concept of recursion in programming.,Recursion is a programming technique where a function calls itself to solve a problem by breaking it into smaller subproblems of the same type. Every recursive function needs a base case (stopping condition) and a recursive case. Example: factorial(n) = n * factorial(n-1) with base case factorial(0) = 1.,A function calling itself repeatedly.,1,5
5,Explain the concept of recursion in programming.,Recursion is a programming technique where a function calls itself to solve a problem by breaking it into smaller subproblems of the same type. Every recursive function needs a base case (stopping condition) and a recursive case. Example: factorial(n) = n * factorial(n-1) with base case factorial(0) = 1.,"Recursive functions call themselves with modified parameters, need base case to stop, used for tree traversal, factorial, fibonacci.",5,5
5,Explain the concept of recursion in programming.,Recursion is a programming technique where a function calls itself to solve a problem by breaking it into smaller subproblems of the same type. Every recursive function needs a base case (stopping condition) and a recursive case. Example: factorial(n) = n * factorial(n-1) with base case factorial(0) = 1.,Functions can call themselves to solve problems like factorial where n! = n * (n-1)!.,3,5
5,Explain the concept of recursion in programming.,Recursion is a programming technique where a function calls itself to solve a problem by breaking it into smaller subproblems of the same type. Every recursive function needs a base case (stopping condition) and a recursive case. Example: factorial(n) = n * factorial(n-1) with base case factorial(0) = 1.,Recursion solves problems by dividing into subproblems using self-referential function calls with base cases to prevent infinite loops.,5,5
5,Explain the concept of recursion in programming.,Recursion is a programming technique where a function calls itself to solve a problem by breaking it into smaller subproblems of the same type. Every recursive function needs a base case (stopping condition) and a recursive case. Example: factorial(n) = n * factorial(n-1) with base case factorial(0) = 1.,A loop that calls functions.,0,5
5,Explain the concept of recursion in programming.,Recursion is a programming technique where a function calls itself to solve a problem by breaking it into smaller subproblems of the same type. Every recursive function needs a base case (stopping condition) and a recursive case. Example: factorial(n) = n * factorial(n-1) with base case factorial(0) = 1.,Function that calls itself with base case like fibonacci(n) = fibonacci(n-1) + fibonacci(n-2).,4,5
